codigoProvincia;nombreProvincia;idPais;poblacion;area;longitud;latitud
01;AZUAY;EC;881394;8189;-790045300,00;-29005500,00
02;ESMERALDAS;EC;643654;14893;-796539700,00;0.9592000
03;SANTA ELENA;EC;401178;3696;-808587300,00;-22262200,00
04;PICHINCHA;EC;3228233;9692;-785249500,00;-0.2298500
05;GUAYAS;EC;4387434;15927;-799079500,00;-22058400,00
06;MORONA SANTIAGO;EC;196535;25690;-781113500,00;-23086800,00
07;NAPO;EC;133705;12476;-778128600,00;-0.9938000
08;PASTAZA;EC;114202;29068;-780025700,00;-14836900,00
09;ORELLANA;EC;161338;21691;-75666667,00;-0.933333
10;EL ORO;EC;715751;5879;-799605300,00;-32586100,00
11;IMBABURA;EC;476257;4611;-781223300,00;0.3517100
12;LOJA;EC;521154;11100;-792042200,00;-39931300,00
13;MANABÍ;EC;1562079;19427;-804544500,00;-10545800,00
14;ZAMORA CHINCHIPE;EC;120416;10556;-7895074635101000,00;-4062151910638380,00
15;CAÑAR;EC;281396;3669;-788486000,00;-27396900,00
16;GALÁPAGOS;EC;33042;8010;-8960587646459760,00;-0.9081900037611714
17;LOS RÍOS;EC;921763;7100;-795344300,00;-18021700,00
18;TUNGURAHUA;EC;590600;3222;-786167500,00;-12490800,00
19;SUCUMBÍOS;EC;230503;18612;-76883333,00;-0.083333
20;CARCHI;EC;186869;3790;-777172700,00;0.8118700
21;BOLÍVAR;EC;209933;4148;-790009800,00;-15926300,00
22;SANTO DOMINGO DE LOS TSÁCHILAS;EC;458580;4180;-791753600,00;-0.2530500
23;CHIMBORAZO;EC;524004;5999;-786471200,00;-16709800,00
24;COTOPAXI;EC;488716;6085;-786155400,00;-0.9352100
90;ZONA NO DELIMITADA;EC;;;;