idVenta;ventaTotal;anio;idProvincia;recaudaciones
1;195.1;2019;01;8.0
2;94.6;2020;01;4.2
3;156.2;2021;01;6.9
4;15.9;2019;21;0.2
5;9.0;2020;21;0.1
6;13.5;2021;21;0.1
7;22.3;2019;15;0.4
8;12.6;2020;15;0.2
9;16.8;2021;15;0.3
10;19.0;2019;20;0.3
11;9.5;2020;20;0.2
12;15.7;2021;20;0.3
13;63.8;2019;23;1.7
14;31.2;2020;23;0.9
15;43.2;2021;23;1.2
16;42.9;2019;24;1.1
17;25.1;2020;24;0.6
18;29.0;2021;24;0.7
19;106.1;2019;10;2.6
20;54.0;2020;10;1.5
21;75.0;2021;10;2.1
22;43.5;2019;02;1.4
23;22.5;2020;02;0.7
24;31.3;2021;02;1.1
25;14.0;2019;14;0.3
26;8.2;2020;14;0.3
27;15.1;2021;14;0.5
28;184.0;2019;18;3.9
29;76.3;2020;18;2.1
30;127.3;2021;18;3.0
31;43.7;2019;19;2.2
32;30.1;2020;19;1.8
33;33.7;2021;19;1.9
34;70.3;2019;22;1.7
35;37.5;2020;22;0.9
36;46.6;2021;22;1.1
37;66.9;2019;03;1.5
38;34.4;2020;03;0.8
39;48.6;2021;03;1.1
40;2421.4;2019;04;129.2
41;1240.2;2020;04;66.3
42;1813.6;2021;04;100.1
43;21.4;2019;08;0.5
44;10.1;2020;08;0.3
45;15.5;2021;08;0.4
46;54.9;2019;09;3.1
47;33.8;2020;09;2.0
48;38.9;2021;09;2.0
49;355.6;2019;16;7.5
50;112.5;2020;16;2.0
51;135.3;2021;16;3.8
52;1082.0;2019;05;45.0
53;694.1;2020;05;31.0
54;931.4;2021;05;40.6
55;82.4;2019;11;2.2
56;44.2;2020;11;1.4
57;71.6;2021;11;2.0
58;102.8;2019;12;1.7
59;53.6;2020;12;1.0
60;87.7;2021;12;1.6
61;80.8;2019;17;1.3
62;52.8;2020;17;1.1
63;65.0;2021;17;1.3
64;15.5;2019;06;0.4
65;8.3;2020;06;0.2
66;13.3;2021;06;0.3
67;27.6;2019;07;0.9
68;13.8;2020;07;0.5
69;19.8;2021;07;0.7
70;180.0;2019;13;4.0
71;103.9;2020;13;2.4
72;151.3;2021;13;3.8