idCategoria;nombreCategoria;idClasificacion
1;1 ESTRELLA;20
2;1 ESTRELLA-H;17
3;1 ESTRELLA-HOS;19
4;1 TENEDOR;30
5;2 ESTRELLA-H;17
6;2 ESTRELLAS;20
7;2 ESTRELLAS-H;17
8;2 ESTRELLAS-HOS;19
9;2 TENEDORES;30
10;3 ESTRELLA-H;17
11;3 ESTRELLAS;20
12;3 ESTRELLAS-H;17
13;3 ESTRELLAS-HOS;19
14;3 ESTRELLAS-HT;16
15;3 ESTRELLAS-L;21
16;3 TENEDORES;30
17;4 ESTRELLAS;20
18;4 ESTRELLAS-HOS;19
19;4 ESTRELLAS-HT;16
20;4 ESTRELLAS-L;21
21;4 ESTRELLAS-R;29
22;4 TENEDORES;30
23;5 ESTRELLAS;20
24;5 ESTRELLAS-H;17
25;5 ESTRELLAS-HOS;19
26;5 ESTRELLAS-HT;16
27;5 ESTRELLAS-L;21
28;5 ESTRELLAS-R;29
29;5 TENEDORES;30
30;AGENCIA DE VIAJES DUAL;1
31;AGENCIA DE VIAJES INTERNACIONAL;2
32;AGENCIA DE VIAJES MAYORISTA;3
33;CATEGORÍA ÚNICA;13
34;CATEGORÍA ÚNICA-CH;9
35;CATEGORÍA ÚNICA-CT;8
36;CATEGORÍA ÚNICA-CTC;12
37;CATEGORÍA ÚNICA-EM;14
38;CATEGORÍA ÚNICA-OE;23
39;CATEGORÍA ÚNICA-PC;27
40;CATEGORÍA ÚNICA-RE;28
41;CATEGORÍA ÚNICA-SC;33
42;CUATRO TAZAS;7
43;DOS COPAS;4
44;DOS COPAS-D;13
45;DOS TAZAS;7
46;FLUVIAL;36
47;FUNICULARES O TELEFÉRICOS POR CABINAS;35
48;INTERNACIONAL NO OPERANTE EN EL PAÍS QUE TIENE OFICINAS DE REPRESENTACIÓN O INFORMACIÓN;35
49;INTERNACIONAL NO OPERANTE EN EL PAÍS QUE TIENE OFICINAS DE VENTA;35
50;INTER_OPER;35
51;LANC_PASAJE;36
52;LAN_TOUR_DIARIO;36
53;LUJO-D;13
54;LUJO-SRB;32
55;MOTONAVES;36
56;MOTO_VELERO;36
57;OPERADOR TURÍSTICO;22
58;PRIMERA;11
59;PRIMERA-B;5
60;PRIMERA-CC;10
61;PRIMERA-F;15
62;PRIMERA-PE;25
63;PRIMERA-PP;26
64;PRIMERA-SB;31
65;PRIMERA-SRB;32
66;PRIMERA-TB;34
67;RENT A CAR;37
68;SEGUNDA;18
69;SEGUNDA-C;6
70;SEGUNDA-CC;10
71;SEGUNDA-CRT;11
72;SEGUNDA-F;15
73;SEGUNDA-P;24
74;SEGUNDA-PE;25
75;SEGUNDA-RE;28
76;SEGUNDA-SB;31
77;SEGUNDA-SRB;32
78;SEGUNDA-TB;34
79;SERVICIO AVIONETAS HELICOPTEROS;35
80;SERVICIO NACIONAL AEREO;35
81;SERVICIO TRANSP.TERRES.TURIS.;37
82;TERCERA-CRT;11
83;TERCERA-CT;8
84;TERCERA-F;15
85;TERCERA-P;24
86;TERCERA-TB;34
87;TRES COPAS;4
88;TRES COPAS-D;13
89;TRES TAZAS;7
90;UNA COPA;4
91;UNA COPA-D;13
92;UNA TAZA;7
93;YATES_PASAJ;36